rhoU,viscU,rhoL,viscL,Gamma,D,lc,Q,S,Pri,Sec,Cohen
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00035805931373646,0.0117094,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00036969118410348,0.0118364,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00035350771231044,0.0116586,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.0001056983002587,0.0047752,1,0,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00021291380095068,0.0083566,1,0,0
950,0.0249,1245,0.0018715,0.038,0.007442,0.00362365035963068,0.00010822696771059,0.0062992,1,0,0
950,0.0249,1245,0.0018715,0.038,0.007442,0.00362365035963068,0.00015526018265643,0.0080264,1,0,0
950,0.0249,1245,0.0018715,0.038,0.007442,0.00362365035963068,0.00020027046362814,0.0091694,1,0,0
950,0.0249,1245,0.0018715,0.038,0.007442,0.00362365035963068,0.00023971767615522,0.009525,1,0,0
950,0.0249,1245,0.0018715,0.038,0.007442,0.00362365035963068,0.00024224634360711,0.009525,1,0,0
950,0.0249,1245,0.0018715,0.038,0.007442,0.00362365035963068,0.0001532372486823,0.0079756,1,0,0
918,0.00499,998,0.00092718,0.038,0.007442,0.00695844663790994,0.0001564632,0.0089662,1,0,0
918,0.00499,998,0.00092718,0.038,0.007442,0.00695844663790994,0.0002182914,0.011176,1,0,0
918,0.00499,998,0.00092718,0.038,0.007442,0.00695844663790994,0.0002801196,0.012827,1,0,0
918,0.00499,998,0.00092718,0.038,0.007442,0.00695844663790994,0.0003419478,0.0146558,1,0,0
918,0.00499,998,0.00092718,0.038,0.007442,0.00695844663790994,0.0002630853,0.0124206,1,0,0
918,0.00499,998,0.00092718,0.038,0.007442,0.00695844663790994,0.0002056734,0.010668,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0001627722,0.0079502,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0002220768,0.0100584,1,0,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0002864286,0.0119634,1,0,0
